Company Name,Industry,Symbol,Series
M M Forgings Ltd,"Castings, Forgings & Fastners",MMFL,EQ
MMP Industries Ltd,Non Ferrous Metals,MMP,EQ
MMTC Ltd,Trading,MMTC,EQ
One Mobikwik Systems Ltd,E-Commerce/App based Aggregator,MOBIKWIK,EQ
Modi Rubber Ltd,Miscellaneous,MODIRUBBER,EQ
Modison Ltd,Capital Goods - Electrical Equipment,MODISONLTD,EQ
Modern Threads (I) Ltd,Textiles,MODTHREAD,EQ
MOIL Ltd,Mining & Mineral products,MOIL,EQ
Meghmani Organics Ltd,Agro Chemicals,MOL,EQ
Molbio Diagnostics Ltd,Healthcare,MOLBIO,EQ
Mold-Tek Technologies Ltd,Infrastructure Developers & Operators,MOLDTECH,EQ
Mold-Tek Packaging Ltd,Packaging,MOLDTKPAC,EQ
Monte Carlo Fashions Ltd,Textiles,MONTECARLO,EQ
Morepen Laboratories Ltd,Pharmaceuticals,MOREPENLAB,EQ
Moschip Technologies Ltd,IT - Hardware,MOSCHIP,EQ
Samvardhana Motherson International Ltd,Auto Ancillaries,MOTHERSON,EQ
Motisons Jewellers Ltd,"Diamond, Gems and Jewellery",MOTISONS,EQ
Mphasis Ltd,IT - Software,MPHASIS,EQ
MPS Ltd,IT - Software,MPSLTD,EQ
MRF Ltd,Tyres,MRF,EQ
Mangalore Refinery And Petrochemicals Ltd,Refineries,MRPL,EQ
MSP Steel & Power Ltd,Steel,MSPL,EQ
MSTC Ltd,E-Commerce/App based Aggregator,MSTCLTD,EQ
Motherson Sumi Wiring India Ltd,Auto Ancillaries,MSUMI,EQ
MTAR Technologies Ltd,Aerospace & Defence,MTARTECH,EQ
Mahanagar Telephone Nigam Ltd,Telecom-Service,MTNL,EQ
Credo Brands Marketing Ltd,Retail,MUFTI,EQ
Mukand Ltd,Steel,MUKANDLTD,EQ
Mukka Proteins Ltd,FMCG,MUKKA,EQ
Munjal Auto Industries Ltd,Auto Ancillaries,MUNJALAU,EQ
Munjal Showa Ltd,Auto Ancillaries,MUNJALSHOW,EQ
Murudeshwar Ceramics Ltd,Ceramic Products,MURUDCERA,EQ
MV Electrosystems Ltd,Consumer Durables,MVELECTRO,EQ
Manoj Vaibhav Gems N Jewellers Ltd,"Diamond, Gems and Jewellery",MVGJL,EQ
Mangalam Worldwide Ltd,Steel,MWL,EQ
NACL Industries Ltd,Agro Chemicals,NACLIND,EQ
Nahar Polyfilms Ltd,Packaging,NAHARPOLY,EQ
Nahar Spinning Mills Ltd,Textiles,NAHARSPING,EQ
Natural Capsules Ltd,Pharmaceuticals,NATCAPSUQ,EQ
Natco Pharma Ltd,Pharmaceuticals,NATCOPHARM,EQ
Nath Bio-Genes (India) Ltd,FMCG,NATHBIOGEN,EQ
National Aluminium Company Ltd,Non Ferrous Metals,NATIONALUM,EQ
Info Edge (India) Ltd,E-Commerce/App based Aggregator,NAUKRI,EQ
Nava Ltd,Diversified,NAVA,EQ
Navin Fluorine International Ltd,Chemicals,NAVINFLUOR,EQ
Navkar Corporation Ltd,Logistics,NAVKARCORP,EQ
Navneet Education Ltd,Printing & Stationery,NAVNETEDUL,EQ
Nazara Technologies Ltd,E-Commerce/App based Aggregator,NAZARA,EQ
NBCC (India) Ltd,Miscellaneous,NBCC,EQ
NCC Ltd,Infrastructure Developers & Operators,NCC,EQ
NCL Industries Ltd,Cement,NCLIND,EQ
Nandan Denim Ltd,Textiles,NDL,EQ
NDR Auto Components Ltd,Auto Ancillaries,NDRAUTO,EQ
New Delhi Television Ltd,Media - Print/Television/Radio,NDTV,EQ
North Eastern Carrying Corporation Ltd,Logistics,NECCLTD,EQ
