Date,Symbols,Above_MA_30W,Symbols_MA_10W,Above_MA_10W,Pct_Above_MA_30W,Pct_Above_MA_10W,Benchmark_Close,Benchmark_Ticker
2026-01-12,1489,318,1502,281,21.356615177971793,18.708388814913448,23510.44921875,^CRSLDX
2026-01-13,1489,319,1502,317,21.42377434519812,21.1051930758988,23480.650390625,^CRSLDX
2026-01-14,1489,329,1502,344,22.095366017461384,22.902796271637815,23475.849609375,^CRSLDX
2026-01-15,1023,237,1033,251,23.16715542521994,24.298160696999034,,^CRSLDX
2026-01-16,1490,314,1502,317,21.073825503355707,21.1051930758988,23485.30078125,^CRSLDX
2026-01-19,1490,278,1502,279,18.65771812080537,18.575233022636482,23373.75,^CRSLDX
2026-01-20,1490,235,1502,165,15.771812080536913,10.985352862849535,22946.650390625,^CRSLDX
2026-01-21,1490,215,1504,149,14.429530201342283,9.90691489361702,22835.150390625,^CRSLDX
2026-01-22,1490,240,1504,195,16.10738255033557,12.965425531914892,23008.75,^CRSLDX
2026-01-23,1490,204,1504,148,13.691275167785236,9.840425531914894,22706.19921875,^CRSLDX
2026-01-27,1493,206,1504,161,13.797722705961151,10.704787234042554,22819.25,^CRSLDX
2026-01-28,1494,235,1504,235,15.729585006693442,15.625,23082.099609375,^CRSLDX
2026-01-29,1495,234,1504,247,15.65217391304348,16.42287234042553,23134.80078125,^CRSLDX
2026-01-30,1495,251,1504,303,16.789297658862875,20.14627659574468,23079.5,^CRSLDX
2026-02-02,1495,247,1504,260,16.52173913043478,17.287234042553195,22837.0,^CRSLDX
2026-02-03,1495,330,1504,440,22.073578595317723,29.25531914893617,23446.30078125,^CRSLDX
2026-02-04,1496,341,1504,530,22.794117647058822,35.23936170212766,23534.94921875,^CRSLDX
2026-02-05,1496,336,1504,495,22.459893048128343,32.91223404255319,23411.69921875,^CRSLDX
2026-02-06,1496,333,1504,504,22.259358288770052,33.51063829787234,23434.0,^CRSLDX
2026-02-09,1497,399,1504,690,26.65330661322645,45.87765957446808,23683.400390625,^CRSLDX
2026-02-10,1497,419,1504,777,27.989311957247832,51.66223404255319,23753.75,^CRSLDX
2026-02-11,1497,409,1504,749,27.321309285237138,49.80053191489361,23783.05078125,^CRSLDX
2026-02-12,1498,405,1504,677,27.03604806408545,45.013297872340424,23651.55078125,^CRSLDX
2026-02-13,1498,359,1504,564,23.965287049399198,37.5,23313.150390625,^CRSLDX
2026-02-16,1499,357,1504,533,23.815877251501,35.43882978723404,23472.44921875,^CRSLDX
2026-02-17,1499,385,1504,575,25.6837891927952,38.2313829787234,23540.05078125,^CRSLDX
2026-02-18,1499,390,1504,599,26.017344896597734,39.827127659574465,23645.80078125,^CRSLDX
2026-02-19,1499,355,1504,513,23.68245496997999,34.109042553191486,23297.44921875,^CRSLDX
2026-02-20,1499,356,1504,510,23.749166110740493,33.909574468085104,23395.0,^CRSLDX
2026-02-23,1499,373,1504,521,24.883255503669112,34.640957446808514,23484.94921875,^CRSLDX
2026-02-24,1499,345,1504,449,23.015343562374916,29.853723404255316,23304.599609375,^CRSLDX
2026-02-25,1499,352,1504,487,23.482321547698465,32.380319148936174,23403.80078125,^CRSLDX
2026-02-26,1499,368,1504,506,24.549699799866577,33.6436170212766,23448.5,^CRSLDX
2026-02-27,1499,348,1504,458,23.215476984656437,30.45212765957447,23166.849609375,^CRSLDX
2026-03-02,1499,298,1504,357,19.879919946631087,23.736702127659576,22835.94921875,^CRSLDX
2026-03-04,1500,259,1504,284,17.266666666666666,18.882978723404257,22409.80078125,^CRSLDX
2026-03-05,1500,283,1504,318,18.866666666666667,21.143617021276594,22697.80078125,^CRSLDX
2026-03-06,1500,280,1504,315,18.666666666666668,20.944148936170212,22481.30078125,^CRSLDX
2026-03-09,1500,225,1504,246,15.0,16.356382978723406,22056.55078125,^CRSLDX
2026-03-10,1500,262,1504,321,17.466666666666665,21.34308510638298,22342.94921875,^CRSLDX
2026-03-11,1500,255,1504,307,17.0,20.412234042553195,22042.30078125,^CRSLDX
