Symbol,Date,Close,R3M,R6M,R9M,R12M,RS_Blend,MA_30W,MA_30W_Slope_10S_Pct,Stage,MA_10W,High_52W,Near_52W_High,Low_52W,Volume_Ratio,U_D,AvgValue20,SMA_50,Below_50DMA,Ext_Pct,Extended_20Pct,Pct_From_52W_High,Above_MA_30W,Above_MA_10W,MA10W_Above_MA30W,MA_30W_Rising,Distribution,Heavy_Distribution,Breakout,Breakout_Confirmed,SMA_150,SMA_200,SMA_200_Rising,ATR_Pct,VCP_Contractions,Contraction_Ratio,Base_Depth_Pct,Volume_DryUp,VCP_Setup,VCP_Pivot,RS_Line,RS_Line_High_52W,RS_Line_At_High,Pct_To_Pivot,RS_Score,Liquid_UI_Filter,RS_Not_Lagging,Trend_Health,TT1_Above_150_200,TT2_150_Above_200,TT3_200_Rising,TT4_50_Above_150_200,TT5_Above_50,TT6_Above_52W_Low,TT7_Near_52W_High,TT8_RS,Trend_Template_Score,Trend_Template_Pass,RS_Line_NH_Before_Price,Stage1_Readiness,Company Name,Industry,Series,Action,Action_Reason
MANINFRA,2026-08-25,113.86000061035156,-0.009913038170855981,0.07865332421581694,-0.06403318235885203,-0.2976592214259084,-0.060573031182131094,106.69565880135315,-0.11863385643977598,Stage 3 — Topping,104.78666642132927,163.24433518322311,False,76.65347017879223,0.4891268937452288,2.032461101945268,256431011.0540722,104.61719970703125,False,6.71474536966592,False,-30.251790677724454,True,True,False,False,False,False,False,False,106.7062601216634,111.8612174987793,False,4.3637552893973055,2,1.2167351237813868,18.56777991649423,1.1902462539230776,False,117.30000305175781,0.004822206139949255,0.007127495239350913,False,3.021256299812025,34.0,True,False,2,True,False,False,False,True,True,False,False,3,False,False,,Man Infraconstruction Ltd,Construction & Contracting,EQ,SELL,Stage 3 + RS 34; RS below 50 in Stage 3 triggers SELL.
MANKIND,2026-08-25,2365.0,-0.03763987792472023,0.09709145686733711,0.054908828680333865,-0.0751241994133598,0.0003192660569741445,2304.965513873922,0.6513184265907856,Stage 2 — Advancing,2477.7607900582107,2674.0,False,1909.699951171875,0.9610364453903775,0.35910309572693155,1106800316.2959838,2480.1920068359377,True,2.6045719888094343,False,-11.555721765145854,True,False,True,True,True,True,False,False,2298.767998046875,2276.6979992675783,True,1.7743884022953789,2,0.49421651261663196,11.521570868423543,0.9548526130151045,False,2642.0,0.10016263358374819,0.11444249673421647,False,11.712473572938698,45.0,True,False,3,True,True,True,True,False,False,True,False,5,False,False,,Mankind Pharma Ltd,Pharma - Formulators,EQ,REDUCE,Stage 2 + RS 45; distribution warning (U/D 0.36) triggers REDUCE.
MANOMAY,2026-08-25,215.57000732421875,0.18367017957312926,-0.013545011996579759,-0.06525881585125015,0.30807040856980983,0.11932138797364769,204.9735861942686,-0.07192464247877117,Stage 3 — Topping,197.35980374205346,259.8800048828125,False,160.25,0.8928543112096844,2.2492725991385236,23809478.269108582,197.66399993896485,False,5.169652015507564,False,-17.050175744984465,True,True,False,False,False,False,False,False,205.51519999186198,208.99595001220703,True,3.4625782859912713,2,0.5803096725715607,25.0,1.4393919172669796,False,220.0,0.00912983494937067,0.011474543080676003,False,2.055013464428068,64.0,False,True,3,True,False,True,False,True,True,True,False,5,False,False,,Manomay Tex India Ltd,Textiles - Others,EQ,REDUCE,Stage 3 with RS 64; the guide requires REDUCE when RS is 50 or higher.
MANORAMA,2026-08-25,1914.5999755859375,0.36018755952944126,0.3367310691306751,0.4490274009177677,0.36903823781618694,0.3750343653847025,1479.8472574312393,2.9529595939894016,Stage 2 — Advancing,1640.9215710209864,2043.0,False,1060.5999755859375,0.3200175135645753,6.636550452710213,1791520205.9428163,1643.7860034179687,False,29.378215621344218,True,-6.284876378563997,True,True,True,True,False,False,False,False,1469.6179972330729,1433.5669982910156,True,4.936876735806539,2,2.1010876459495016,27.03866981958211,11.619740975037358,False,2043.0,0.08108726250066278,0.08330303157419075,False,6.706363002786908,86.0,True,True,5,True,True,True,True,True,True,True,True,8,True,False,,Manorama Industries Ltd,FMCG - Chocolate,EQ,WAIT,"Stage 2 + RS 86; wait because price is more than 20% above the 30-week line (currently +29%) — the guide treats that as poor entry timing, not a failed trend."
MANORG,2026-08-25,500.3999938964844,-0.12845080097809325,0.20796618924920796,0.09007734931509126,-0.16342059103538842,-0.02445573088545514,480.9729467940657,-0.04631971331101603,Stage 3 — Topping,513.888235653148,635.0,False,356.25,1.9086920539186232,0.9018322059467614,7227755.784706116,513.7920001220704,True,4.039114306097669,False,-21.19685135488435,True,False,True,False,False,False,False,False,479.98166829427083,481.4337515258789,False,3.336616897463332,2,1.0373690908259403,27.246521704890565,2.686847588068967,False,589.7999877929688,0.021192973037616657,0.027195859412698913,False,17.865706432238326,40.0,False,False,2,True,False,False,True,False,True,True,False,4,False,False,,Mangalam Organics Ltd,Chemicals - Organic,EQ,SELL,Stage 3 + RS 40; RS below 50 in Stage 3 triggers SELL.
MANYAVAR,2026-08-25,536.5,0.2799713892695346,0.34141763626771593,-0.12322278379750573,-0.30399551770762034,0.09482842266033181,426.5582767881196,0.517675861617195,Stage 2 — Advancing,443.9411782657399,779.0,False,329.20001220703125,2.9820645377655945,11.880070673393242,1519698022.269487,444.5430017089844,False,25.774139008558205,True,-31.129653401797174,True,True,True,True,False,False,False,False,428.7706677246094,469.4645016479492,False,3.2891761191658486,1,1.5957201046951301,31.074006118498986,0.5707927142530368,False,554.0,0.022721882840457043,0.03356453331831484,False,3.2618825722273925,61.0,True,True,5,True,False,False,False,True,True,False,False,3,False,False,,Vedant Fashions Ltd,Textiles - Readymade Apparel,EQ,HOLD,Stage 2 + RS 61; trend/leadership is adequate without a stronger entry trigger.
MAPMYINDIA,2026-08-25,964.2999877929688,0.1168429895620069,-0.07610799445305427,-0.41746161920475544,-0.43079851889576626,-0.13813643068591244,994.9125719793911,-2.6567072119508817,Stage 4 — Declining,1010.5679512771906,1992.1530909053106,False,792.673490779813,0.20123306650690734,0.7160275442619771,292366333.92335206,1013.2018994140625,True,-3.076911986901354,False,-51.59508613091808,False,False,True,False,False,False,False,False,1006.764033610026,1171.9928695678711,False,3.231804375870196,2,0.45238751803899385,34.4129220403113,0.1771831482033926,False,1228.3447538780254,0.04084009570491331,0.08382900244426521,False,27.382014873751714,19.0,True,False,1,False,False,False,False,False,False,False,False,0,False,False,,CE Info Systems Ltd,Geospatial,EQ,SELL,Stage 4 takes precedence: the guide requires SELL regardless of RS.
MARALOVER,2026-08-25,55.0,-0.02030636626367044,0.21789194388475552,0.169466328462071,-0.04281237597752452,0.06078663276839223,49.761103320943896,1.7155643044839852,Stage 2 — Advancing,55.171764598173255,65.79000091552734,False,34.11000061035156,0.3719586169710858,1.3954020989157534,1152211.231498146,55.14419990539551,True,10.52809590106316,False,-16.400669958009917,True,False,True,True,False,False,False,False,49.38786656697591,48.532149925231934,True,5.025974620472301,1,1.1229848362329689,19.79166985067539,1.7703943897442223,False,62.400001525878906,0.0023293635717150742,0.0027162957204279444,False,13.454548228870733,56.0,False,True,4,True,True,True,True,False,True,True,False,6,False,False,,Maral Overseas Ltd,Textiles - Cotton Yarn - EOUs,EQ,HOLD,Stage 2 + RS 56; trend/leadership is adequate without a stronger entry trigger.
MARATHON,2026-08-25,402.3999938964844,-0.16945305697320046,-0.032110658096249245,-0.2733838881070604,-0.3723179793291843,-0.20334372789577898,433.5013695285745,-1.9407448600961774,Stage 4 — Declining,392.93921556659774,685.4000244140625,False,344.04998779296875,15.678879768380375,1.2747881311235771,135576936.77331543,392.6120001220703,False,-7.174458448865428,False,-41.289760787433636,False,True,False,False,False,False,False,False,435.25099955240887,461.4077490234375,False,4.852136817169314,1,4.144839765339217,21.806820956143465,8.511891344667085,False,440.0,0.017042470673469798,0.028861427517691395,False,9.343938040214805,10.0,True,False,1,False,False,False,False,True,False,False,False,1,False,False,,Marathon Nextgen Realty Ltd,Realty - Regional,EQ,SELL,Stage 4 takes precedence: the guide requires SELL regardless of RS.
MARICO,2026-08-25,847.5,0.034038562272468376,0.05583883566223902,0.164115168044781,0.1785376631641542,0.09331375828322219,802.1348830967734,0.859811548092515,Stage 2 — Advancing,846.0963864793964,889.0999755859375,False,687.1576231263153,0.26722764294500584,0.8809382862496982,1364332219.637741,846.9229187011719,False,5.655547197758959,False,-4.678886146467631,True,True,True,True,False,False,False,False,800.5885400390625,784.7020321655274,True,1.5145386616690368,3,0.5776881213918224,10.878809868115312,0.5102152421115892,True,889.0999755859375,0.03589337503688228,0.038037339301649396,False,4.90855169155604,61.0,True,True,5,True,True,True,True,True,False,True,False,6,False,False,,Marico Ltd,FMCG - Personal Care,EQ,HOLD,Stage 2 + RS 61; trend/leadership is adequate without a stronger entry trigger.
