Symbol,TV_Sector,TV_Industry
EPACKPEB,Industrial Services,Engineering & Construction
EPIGRAL,Process Industries,Chemicals: Agricultural
EPL,Process Industries,Containers/Packaging
EPWINDIA,Technology Services,Information Technology Services
EQUIPPP,Technology Services,Internet Software/Services
EQUITASBNK,Finance,Regional Banks
ERIS,Health Technology,Pharmaceuticals: Major
ESABINDIA,Producer Manufacturing,Electrical Products
ESAFSFB,Finance,Regional Banks
ESCONET,Technology Services,Information Technology Services
ESCORTS,Producer Manufacturing,Auto Parts: OEM
ESFL,Producer Manufacturing,Miscellaneous Manufacturing
ESPRIT,Non-Energy Minerals,Construction Materials
ESSARSHPNG,Transportation,Other Transportation
ESSENTIA,Consumer Non-Durables,Apparel/Footwear
ESTER,Process Industries,Industrial Specialties
ETERNAL,Technology Services,Internet Software/Services
ETHOSLTD,Retail Trade,Catalog/Specialty Distribution
ETML,Consumer Durables,Automotive Aftermarket
EUREKAFORB,Producer Manufacturing,Industrial Machinery
EUROBOND,Non-Energy Minerals,Aluminum
EUROPRATIK,Producer Manufacturing,Office Equipment/Supplies
EVEREADY,Producer Manufacturing,Electrical Products
EVERESTIND,Distribution Services,Wholesale Distributors
EXCEL,Commercial Services,Miscellaneous Commercial Services
EXCELINDUS,Process Industries,Chemicals: Agricultural
EXCELSOFT,Technology Services,Packaged Software
EXICOM,Producer Manufacturing,Electrical Products
EXIDEIND,Producer Manufacturing,Auto Parts: OEM
EXIMROUTES,Distribution Services,Wholesale Distributors
EXPLEOSOL,Technology Services,Information Technology Services
EXXARO,Producer Manufacturing,Building Products
FABTECH,Health Technology,Biotechnology
FACT,Process Industries,Chemicals: Agricultural
FAIRCHEMOR,Process Industries,Chemicals: Specialty
FAZE3Q,Process Industries,Textiles
FCL,Process Industries,Industrial Specialties
FCSSOFT,Commercial Services,Miscellaneous Commercial Services
FDC,Health Technology,Pharmaceuticals: Major
FEDERALBNK,Finance,Major Banks
FEDFINA,Finance,Finance/Rental/Leasing
FELIX,Industrial Services,Environmental Services
FIBERWEB,Producer Manufacturing,Industrial Conglomerates
FIDEL,Technology Services,Information Technology Services
FIEMIND,Producer Manufacturing,Auto Parts: OEM
FILATEX,Process Industries,Textiles
FILATFASH,Process Industries,Textiles
FINBUD,Finance,Finance/Rental/Leasing
FINCABLES,Producer Manufacturing,Electrical Products
FINEORG,Process Industries,Chemicals: Major Diversified
FINKURVE,Finance,Finance/Rental/Leasing
FINOPB,Finance,Regional Banks
FINPIPE,Producer Manufacturing,Miscellaneous Manufacturing
FIRSTCRY,Retail Trade,Apparel/Footwear Retail
FISCHER,Process Industries,Chemicals: Specialty
FIVESTAR,Finance,Finance/Rental/Leasing
FLAIR,Producer Manufacturing,Office Equipment/Supplies
FLUOROCHEM,Process Industries,Chemicals: Specialty
FLYSBS,Transportation,Airlines
FMGOETZE,Producer Manufacturing,Industrial Machinery
FOCE,Consumer Durables,Other Consumer Specialties
FOCUS,Producer Manufacturing,Electrical Products
FOODSIN,Consumer Non-Durables,Food: Specialty/Candy
FORCAS,Consumer Non-Durables,Apparel/Footwear
FORCEMOT,Consumer Durables,Motor Vehicles
FORTIS,Health Services,Hospital/Nursing Management
FOSECOIND,Process Industries,Chemicals: Major Diversified
FRACTAL,Technology Services,Packaged Software
FRESHARA,Consumer Non-Durables,Food: Specialty/Candy
FROG,Electronic Technology,Telecommunications Equipment
FSL,Commercial Services,Miscellaneous Commercial Services
FUSION,Finance,Finance/Rental/Leasing
FWSTC,Commercial Services,Miscellaneous Commercial Services
GABRIEL,Producer Manufacturing,Auto Parts: OEM
GAEL,Consumer Non-Durables,Food: Specialty/Candy
GAIL,Utilities,Gas Distributors
GALAPREC,Producer Manufacturing,Metal Fabrication
GALAXYSURF,Consumer Non-Durables,Household/Personal Care
GALLANTT,Non-Energy Minerals,Steel
GANDHAR,Process Industries,Industrial Specialties
GANDHITUBE,Non-Energy Minerals,Steel
GANECOS,Process Industries,Textiles
GANESHBE,Process Industries,Chemicals: Specialty
GANESHCP,Process Industries,Agricultural Commodities/Milling
GANESHHOU,Consumer Durables,Homebuilding
GANESHIN,Industrial Services,Engineering & Construction
GANGESSECU,Consumer Non-Durables,Food: Specialty/Candy
GARFIBRES,Producer Manufacturing,Miscellaneous Manufacturing
GARUDA,Industrial Services,Engineering & Construction
GATEWAY,Transportation,Railroads
GAYAPROJ,Industrial Services,Engineering & Construction
GCHOTELS,Consumer Services,Hotels/Resorts/Cruise lines
GCSL,Finance,Investment Banks/Brokers
GEECEE,Finance,Real Estate Development
GEEKAYWIRE,Non-Energy Minerals,Steel
GEMAROMA,Process Industries,Chemicals: Major Diversified
GENCON,Industrial Services,Engineering & Construction
GENESYS,Technology Services,Packaged Software
GENSOL,Industrial Services,Engineering & Construction
GENUSPAPER,Process Industries,Pulp & Paper
GENUSPOWER,Electronic Technology,Electronic Equipment/Instruments
GEOJITFSL,Finance,Investment Banks/Brokers
GESHIP,Transportation,Marine Shipping
GFLLIMITED,Consumer Services,Movies/Entertainment
GGBL,Electronic Technology,Semiconductors
GHCL,Process Industries,Textiles
GHCLTEXTIL,Process Industries,Textiles
GICHSGFIN,Finance,Finance/Rental/Leasing
GICL,Transportation,Trucking
GICRE,Finance,Specialty Insurance
GILLANDERS,Consumer Non-Durables,Food: Major Diversified
GILLETTE,Consumer Non-Durables,Household/Personal Care
GINNIFILA,Process Industries,Textiles
GIPCL,Utilities,Electric Utilities
GIRIRAJ,Industrial Services,Engineering & Construction
GKENERGY,Industrial Services,Engineering & Construction
GKSL,Health Services,Hospital/Nursing Management
GLAND,Health Technology,Pharmaceuticals: Major
GLAXO,Health Technology,Pharmaceuticals: Major
GLENMARK,Health Technology,Pharmaceuticals: Major
GLOBAL,Commercial Services,Miscellaneous Commercial Services
GLOBALPET,Producer Manufacturing,Industrial Machinery
GLOBALVECT,Industrial Services,Oilfield Services/Equipment
GLOBE,Process Industries,Textiles
GLOBECIVIL,Industrial Services,Engineering & Construction
GLOBUSSPR,Consumer Non-Durables,Beverages: Alcoholic
GLOSTERLTD,Process Industries,Textiles
GLOTTIS,Transportation,Marine Shipping
GMBREW,Consumer Non-Durables,Beverages: Alcoholic
GMDCLTD,Distribution Services,Wholesale Distributors
GMMPFAUDLR,Producer Manufacturing,Industrial Machinery
GMRAIRPORT,Transportation,Other Transportation
GMRP&UI,Industrial Services,Engineering & Construction
GNA,Producer Manufacturing,Auto Parts: OEM
GNFC,Process Industries,Chemicals: Specialty
GOACARBON,Process Industries,Industrial Specialties
GOCLCORP,Process Industries,Industrial Specialties
GOCOLORS,Consumer Non-Durables,Apparel/Footwear
GODAVARIB,Process Industries,Agricultural Commodities/Milling
GODFRYPHLP,Consumer Non-Durables,Tobacco
GODIGIT,Finance,Multi-Line Insurance
GODREJAGRO,Process Industries,Agricultural Commodities/Milling
GODREJCP,Consumer Non-Durables,Household/Personal Care
GODREJIND,Process Industries,Agricultural Commodities/Milling
GODREJPROP,Finance,Real Estate Development
GOKEX,Consumer Non-Durables,Apparel/Footwear
GOKUL,Process Industries,Agricultural Commodities/Milling
GOKULAGRO,Process Industries,Agricultural Commodities/Milling
GOLDIAM,Consumer Durables,Other Consumer Specialties
GOLDSTAR,Producer Manufacturing,Electrical Products
GOLDTECH,Technology Services,Information Technology Services
GOODLUCK,Non-Energy Minerals,Steel
GOPAL,Consumer Non-Durables,Food: Specialty/Candy
GOYALSALT,Consumer Non-Durables,Food: Specialty/Candy
GPECO,Distribution Services,Wholesale Distributors
GPIL,Non-Energy Minerals,Steel
GPPL,Transportation,Marine Shipping
GPTHEALTH,Health Services,Hospital/Nursing Management
GPTINFRA,Industrial Services,Engineering & Construction
GRANULES,Health Technology,Pharmaceuticals: Other
GRAPHITE,Process Industries,Industrial Specialties
GRASIM,Non-Energy Minerals,Construction Materials
GRAVITA,Non-Energy Minerals,Other Metals/Minerals
GRCL,Producer Manufacturing,Miscellaneous Manufacturing
GREAVESCOT,Producer Manufacturing,Trucks/Construction/Farm Machinery
GREENCHEF,Consumer Durables,Electronics/Appliances
GREENLAM,Non-Energy Minerals,Forest Products
GREENPANEL,Non-Energy Minerals,Forest Products
GREENPLY,Producer Manufacturing,Building Products
GREENPOWER,Utilities,Electric Utilities
GRETEX,Consumer Non-Durables,Apparel/Footwear
GRINDWELL,Process Industries,Industrial Specialties
GRINFRA,Industrial Services,Engineering & Construction
GRMOVER,Process Industries,Agricultural Commodities/Milling
GROBTEA,Consumer Non-Durables,Food: Major Diversified
GROWW,Miscellaneous,Investment Trusts/Mutual Funds
GRPLTD,Producer Manufacturing,Miscellaneous Manufacturing
GRSE,Producer Manufacturing,Trucks/Construction/Farm Machinery
GRWRHITECH,Process Industries,Chemicals: Specialty
GSFC,Process Industries,Chemicals: Agricultural
GSLSU,Non-Energy Minerals,Construction Materials
GSMFOILS,Non-Energy Minerals,Aluminum
GSPL,Utilities,Gas Distributors
GTL,Technology Services,Information Technology Services
GTLINFRA,Industrial Services,Engineering & Construction
GTPL,Communications,Specialty Telecommunications
GUFICBIO,Health Technology,Pharmaceuticals: Major
GUJALKALI,Process Industries,Chemicals: Specialty
GUJAPOLLO,Producer Manufacturing,Trucks/Construction/Farm Machinery
GUJGASLTD,Utilities,Gas Distributors
GUJTHEM,Health Technology,Pharmaceuticals: Major
GULFOILLUB,Energy Minerals,Oil Refining/Marketing
GULFPETRO,Energy Minerals,Oil Refining/Marketing
GULPOLY,Consumer Non-Durables,Food: Specialty/Candy
GVKPIL,Industrial Services,Engineering & Construction
GVPIL,Industrial Services,Engineering & Construction
GVPTECH,Commercial Services,Miscellaneous Commercial Services
GVPTECHPP.E1,Commercial Services,Miscellaneous Commercial Services
GVT&D,Producer Manufacturing,Electrical Products
HAL,Electronic Technology,Aerospace & Defense
HALDER,Distribution Services,Food Distributors
HALEOSLABS,Health Technology,Biotechnology
HAPPSTMNDS,Technology Services,Data Processing Services
HAPPYFORGE,Producer Manufacturing,Metal Fabrication
HARDWYN,Distribution Services,Wholesale Distributors
HARIOMPIPE,Non-Energy Minerals,Steel
HARRMALAYA,Process Industries,Agricultural Commodities/Milling
HARSHA,Producer Manufacturing,Metal Fabrication
HATHWAY,Consumer Services,Cable/Satellite TV
HATSUN,Consumer Non-Durables,Food: Meat/Fish/Dairy
HAVELLS,Producer Manufacturing,Electrical Products
HBLENGINE,Producer Manufacturing,Electrical Products
HCC,Industrial Services,Engineering & Construction
HCG,Health Services,Hospital/Nursing Management
HCLTECH,Technology Services,Information Technology Services
HCL_INSYS,Technology Services,Information Technology Services
HDBFS,Finance,Finance/Rental/Leasing
HDFCAMC,Finance,Investment Managers
HDFCBANK,Finance,Major Banks
HDFCLIFE,Finance,Multi-Line Insurance
HDIL,Finance,Real Estate Development
HECPROJECT,Industrial Services,Engineering & Construction
HEG,Electronic Technology,Electronic Components
HEIDELBERG,Non-Energy Minerals,Construction Materials
HEMIPROP,Finance,Real Estate Development
HERANBA,Process Industries,Chemicals: Agricultural
HERITGFOOD,Consumer Non-Durables,Food: Meat/Fish/Dairy
HEROMOTOCO,Consumer Durables,Motor Vehicles
HESTERBIO,Health Technology,Pharmaceuticals: Major
HEXATRADEX,Distribution Services,Wholesale Distributors
HEXT,Technology Services,Packaged Software
HFCL,Electronic Technology,Telecommunications Equipment
HGINFRA,Industrial Services,Engineering & Construction
HGS,Commercial Services,Miscellaneous Commercial Services
HIGREEN,Industrial Services,Environmental Services
HIKAL,Health Technology,Pharmaceuticals: Major
HILINFRA,Transportation,Other Transportation
HIMATSEIDE,Process Industries,Textiles
HINDALCO,Non-Energy Minerals,Other Metals/Minerals
HINDCOMPOS,Producer Manufacturing,Auto Parts: OEM
HINDCON,Non-Energy Minerals,Construction Materials
HINDCOPPER,Non-Energy Minerals,Other Metals/Minerals
HINDOILEXP,Energy Minerals,Integrated Oil
HINDPETRO,Energy Minerals,Oil Refining/Marketing
HINDUNILVR,Consumer Non-Durables,Household/Personal Care
HINDWAREAP,Producer Manufacturing,Building Products
HINDZINC,Non-Energy Minerals,Other Metals/Minerals
HIRECT,Producer Manufacturing,Electrical Products
HITECH,Non-Energy Minerals,Steel
HITECHCORP,Producer Manufacturing,Miscellaneous Manufacturing
HITECHGEAR,Producer Manufacturing,Auto Parts: OEM
HLEGLAS,Producer Manufacturing,Industrial Machinery
HLVLTD,Consumer Services,Hotels/Resorts/Cruise lines
HMAAGRO,Distribution Services,Food Distributors
HMT,Producer Manufacturing,Industrial Machinery
HMVL,Consumer Services,Publishing: Newspapers
HNDFDS,Consumer Non-Durables,Food: Specialty/Candy
HOACFOODS,Process Industries,Agricultural Commodities/Milling
HOLMARC,Electronic Technology,Electronic Equipment/Instruments
HOMEFIRST,Finance,Finance/Rental/Leasing
HONASA,Retail Trade,Specialty Stores
HONAUT,Electronic Technology,Electronic Equipment/Instruments
HONDAPOWER,Producer Manufacturing,Electrical Products
HPAL,Non-Energy Minerals,Construction Materials
HPIL,Process Industries,Chemicals: Specialty
HPL,Electronic Technology,Electronic Equipment/Instruments
HPTL,Distribution Services,Wholesale Distributors
HSCL,Process Industries,Industrial Specialties
HTMEDIA,Consumer Services,Publishing: Newspapers
HUBTOWN,Finance,Real Estate Development
HUDCO,Finance,Finance/Rental/Leasing
HUHTAMAKI,Process Industries,Containers/Packaging
HVAX,Producer Manufacturing,Building Products
HYUNDAI,Consumer Durables,Motor Vehicles
IBLFL,Finance,Finance/Rental/Leasing
IBULLSLTD,Finance,Real Estate Development
ICEMAKE,Producer Manufacturing,Industrial Machinery
ICICIAMC,Finance,Investment Managers
ICICIBANK,Finance,Regional Banks
ICICIGI,Finance,Specialty Insurance
ICICIPRULI,Finance,Life/Health Insurance
ICIL,Process Industries,Textiles
ICRA,Commercial Services,Financial Publishing/Services
IDBI,Finance,Major Banks
IDEA,Communications,Wireless Telecommunications
IDEAFORGE,Electronic Technology,Aerospace & Defense
IDEALTECHO,Process Industries,Containers/Packaging
IDFCFIRSTB,Finance,Regional Banks
IEML,Process Industries,Chemicals: Major Diversified
IEX,Finance,Investment Banks/Brokers
IFBAGRO,Consumer Non-Durables,Beverages: Alcoholic
IFBIND,Consumer Durables,Electronics/Appliances
IFCI,Finance,Finance/Rental/Leasing
IFGLEXPOR,Producer Manufacturing,Industrial Machinery
IGARASHI,Producer Manufacturing,Auto Parts: OEM
IGCL,Process Industries,Chemicals: Agricultural
IGIL,Commercial Services,Miscellaneous Commercial Services
IGL,Utilities,Gas Distributors
IGPL,Process Industries,Chemicals: Specialty
IIFL,Finance,Finance/Rental/Leasing
IIFLCAPS,Finance,Investment Banks/Brokers
IITL,Finance,Financial Conglomerates
IKIO,Producer Manufacturing,Electrical Products
IKS,Commercial Services,Miscellaneous Commercial Services
IL&FSENGG,Industrial Services,Engineering & Construction
IMAGICAA,Consumer Services,Movies/Entertainment
IMFA,Non-Energy Minerals,Other Metals/Minerals
IMPAL,Distribution Services,Wholesale Distributors
INCREDIBLE,Non-Energy Minerals,Steel
INDBANK,Finance,Investment Banks/Brokers
INDGN,Health Technology,Pharmaceuticals: Major
INDHOTEL,Consumer Services,Hotels/Resorts/Cruise lines
INDIACEM,Non-Energy Minerals,Construction Materials
INDIAGLYCO,Process Industries,Chemicals: Specialty
INDIAMART,Retail Trade,Internet Retail
INDIANB,Finance,Major Banks
INDIANCARD,Producer Manufacturing,Industrial Machinery
INDIANHUME,Producer Manufacturing,Building Products
INDIASHLTR,Finance,Finance/Rental/Leasing
INDIGO,Transportation,Airlines
INDIGOPNTS,Process Industries,Industrial Specialties
INDIQUBE,Finance,Real Estate Development
INDNIPPON,Producer Manufacturing,Auto Parts: OEM
INDOAMIN,Process Industries,Chemicals: Major Diversified
INDOBORAX,Process Industries,Chemicals: Specialty
INDOCO,Health Technology,Pharmaceuticals: Major
INDOFARM,Producer Manufacturing,Trucks/Construction/Farm Machinery
INDORAMA,Process Industries,Textiles
INDOSTAR,Finance,Finance/Rental/Leasing
INDOTECH,Producer Manufacturing,Electrical Products
INDOTHAI,Finance,Investment Banks/Brokers
INDOUS,Process Industries,Agricultural Commodities/Milling
INDOWIND,Utilities,Electric Utilities
INDRAMEDCO,Health Services,Hospital/Nursing Management
INDSWFTLAB,Health Technology,Pharmaceuticals: Major
INDTERRAIN,Consumer Non-Durables,Apparel/Footwear
INDUSINDBK,Finance,Major Banks
INDUSTOWER,Finance,Finance/Rental/Leasing
INFINIUM,Health Technology,Pharmaceuticals: Major
INFLUX,Health Technology,Pharmaceuticals: Other
INFOBEAN,Technology Services,Packaged Software
INFOLLION,Commercial Services,Commercial Printing/Forms
INFY,Technology Services,Information Technology Services
INGERRAND,Producer Manufacturing,Trucks/Construction/Farm Machinery
INM,Producer Manufacturing,Industrial Conglomerates
INNOMET,Non-Energy Minerals,Steel
INNOVACAP,Health Technology,Pharmaceuticals: Major
INNOVANA,Technology Services,Packaged Software
INOXGREEN,Utilities,Alternative Power Generation
INOXINDIA,Producer Manufacturing,Industrial Machinery
INOXWIND,Producer Manufacturing,Electrical Products
INSECTICID,Process Industries,Chemicals: Agricultural
INSPIRISYS,Technology Services,Information Technology Services
INTELLECT,Technology Services,Packaged Software
INTENTECH,Technology Services,Information Technology Services
INTERARCH,Producer Manufacturing,Building Products
INTLCONV,Producer Manufacturing,Miscellaneous Manufacturing
INVENTURE,Finance,Investment Banks/Brokers
IOB,Finance,Major Banks
IOC,Energy Minerals,Integrated Oil
IOLCP,Process Industries,Chemicals: Specialty
IONEXCHANG,Producer Manufacturing,Industrial Machinery
IPCALAB,Health Technology,Pharmaceuticals: Major
IPHL,Process Industries,Industrial Specialties
IPL,Process Industries,Chemicals: Agricultural
IPSL,Commercial Services,Personnel Services
IRB,Industrial Services,Engineering & Construction
IRBINVIT,Finance,Real Estate Investment Trusts
IRCON,Industrial Services,Engineering & Construction
IRCTC,Consumer Services,Other Consumer Services
IREDA,Finance,Finance/Rental/Leasing
IRFC,Finance,Finance/Rental/Leasing
IRIS,Technology Services,Data Processing Services
IRISDOREME,Consumer Non-Durables,Apparel/Footwear
IRMENERGY,Energy Minerals,Integrated Oil
ISFT,Retail Trade,Internet Retail
ISGEC,Industrial Services,Engineering & Construction
ISHANCH,Distribution Services,Wholesale Distributors
ITC,Consumer Non-Durables,Tobacco
ITCHOTELS,Consumer Services,Hotels/Resorts/Cruise lines
ITDC,Consumer Services,Hotels/Resorts/Cruise lines
ITI,Communications,Major Telecommunications
IVALUE,Technology Services,Information Technology Services
IVC,Finance,Investment Banks/Brokers
IVP,Process Industries,Chemicals: Specialty
IWARE,Transportation,Other Transportation
IXIGO,Technology Services,Internet Software/Services
IZMO,Technology Services,Packaged Software
J&KBANK,Finance,Regional Banks
JAGRAN,Consumer Services,Publishing: Newspapers
JAGSNPHARM,Health Technology,Pharmaceuticals: Generic
JAIBALAJI,Non-Energy Minerals,Steel
JAICORPLTD,Process Industries,Containers/Packaging
JAINAM,Producer Manufacturing,Metal Fabrication
JAINIK,Non-Energy Minerals,Aluminum
JAINREC,Non-Energy Minerals,Other Metals/Minerals
JAMNAAUTO,Producer Manufacturing,Auto Parts: OEM
JARO,Technology Services,Internet Software/Services
JASH,Producer Manufacturing,Industrial Machinery
JAYAGROGN,Process Industries,Agricultural Commodities/Milling
JAYBARMARU,Distribution Services,Wholesale Distributors
JAYBEE,Non-Energy Minerals,Steel
JAYESH,Transportation,Air Freight/Couriers
JAYKAY,Commercial Services,Miscellaneous Commercial Services
JAYNECOIND,Non-Energy Minerals,Steel
JAYSREETEA,Process Industries,Agricultural Commodities/Milling
JBCHEPHARM,Health Technology,Pharmaceuticals: Major
JBMA,Producer Manufacturing,Auto Parts: OEM
JEYYAM,Consumer Non-Durables,Food: Major Diversified
JGCHEM,Process Industries,Chemicals: Specialty
JINDALPHOT,Finance,Financial Conglomerates
JINDALPOLY,Process Industries,Containers/Packaging
JINDALSAW,Non-Energy Minerals,Steel
JINDALSTEL,Non-Energy Minerals,Steel
JINDRILL,Industrial Services,Contract Drilling
JINDWORLD,Process Industries,Textiles
JIOFIN,Finance,Financial Conglomerates
JISLDVREQS,Producer Manufacturing,Trucks/Construction/Farm Machinery
JISLJALEQS,Producer Manufacturing,Trucks/Construction/Farm Machinery
JITFINFRA,Transportation,Trucking
JKCEMENT,Non-Energy Minerals,Construction Materials
JKIL,Industrial Services,Engineering & Construction
JKIPL,Distribution Services,Wholesale Distributors
JKLAKSHMI,Non-Energy Minerals,Construction Materials
JKPAPER,Process Industries,Pulp & Paper
JKTYRE,Consumer Durables,Automotive Aftermarket
JLHL,Health Services,Hospital/Nursing Management
JMA,Producer Manufacturing,Auto Parts: OEM
JMFINANCIL,Finance,Investment Banks/Brokers
JNKINDIA,Producer Manufacturing,Building Products
JOCIL,Process Industries,Chemicals: Specialty
JPASSOCIAT,Producer Manufacturing,Industrial Conglomerates
JPOLYINVST,Finance,Investment Managers
JPPOWER,Utilities,Electric Utilities
JSFB,Finance,Regional Banks
JSL,Non-Energy Minerals,Steel
JSLL,Health Services,Medical/Nursing Services
JSWCEMENT,Non-Energy Minerals,Construction Materials
JSWENERGY,Utilities,Electric Utilities
JSWHL,Finance,Investment Banks/Brokers
JSWINFRA,Industrial Services,Engineering & Construction
JSWSTEEL,Non-Energy Minerals,Steel
JTEKTINDIA,Consumer Durables,Automotive Aftermarket
JTLIND,Non-Energy Minerals,Steel
JUBLCPL,Process Industries,Chemicals: Agricultural
JUBLFOOD,Consumer Services,Restaurants
JUBLINGREA,Process Industries,Chemicals: Major Diversified
JUBLPHARMA,Health Technology,Pharmaceuticals: Major
JUNIPER,Consumer Services,Hotels/Resorts/Cruise lines
JUSTDIAL,Technology Services,Internet Software/Services
JWL,Producer Manufacturing,Trucks/Construction/Farm Machinery
JYOTHYLAB,Consumer Non-Durables,Household/Personal Care
JYOTICNC,Producer Manufacturing,Metal Fabrication
JYOTISTRUC,Utilities,Electric Utilities
KABRAEXTRU,Producer Manufacturing,Industrial Machinery
KAJARIACER,Producer Manufacturing,Building Products
KALAMANDIR,Retail Trade,Apparel/Footwear Retail
KALPATARU,Finance,Real Estate Development
KALYANIFRG,Producer Manufacturing,Auto Parts: OEM
KALYANKJIL,Retail Trade,Specialty Stores
KAMATHOTEL,Consumer Services,Hotels/Resorts/Cruise lines
KAMDHENU,Non-Energy Minerals,Steel
KAMOPAINTS,Process Industries,Industrial Specialties
KANDARP,Commercial Services,Miscellaneous Commercial Services
KANORICHEM,Process Industries,Chemicals: Specialty
KANPRPLA,Producer Manufacturing,Miscellaneous Manufacturing
KANSAINER,Process Industries,Industrial Specialties
KAPSTON,Commercial Services,Miscellaneous Commercial Services
KARNIKA,Consumer Non-Durables,Apparel/Footwear
KARURVYSYA,Finance,Regional Banks
KATARIA,Producer Manufacturing,Electrical Products
KAVDEFENCE,Electronic Technology,Telecommunications Equipment
KAYA,Consumer Non-Durables,Household/Personal Care
KAYNES,Electronic Technology,Electronic Production Equipment
KAYTEX,Process Industries,Textiles
KCEIL,Industrial Services,Engineering & Construction
KCK,Process Industries,Agricultural Commodities/Milling
KCP,Producer Manufacturing,Industrial Conglomerates
KCPSUGIND,Process Industries,Agricultural Commodities/Milling
KDDL,Consumer Durables,Other Consumer Specialties
KEC,Industrial Services,Engineering & Construction
KECL,Producer Manufacturing,Electrical Products
KEI,Producer Manufacturing,Electrical Products
KELLTONTEC,Technology Services,Packaged Software
KERNEX,Electronic Technology,Computer Communications
KESORAMIND,Non-Energy Minerals,Construction Materials
KEYFINSERV,Finance,Investment Banks/Brokers
KFINTECH,Technology Services,Packaged Software
KHADIM,Consumer Non-Durables,Apparel/Footwear
KHAICHEM,Process Industries,Chemicals: Agricultural
KHFM,Commercial Services,Miscellaneous Commercial Services
KICL,Finance,Financial Conglomerates
KILITCH,Health Technology,Pharmaceuticals: Major
KIMS,Health Services,Hospital/Nursing Management
KINGFA,Process Industries,Chemicals: Specialty
KIOCL,Non-Energy Minerals,Steel
KIRIINDUS,Process Industries,Chemicals: Specialty
KIRLOSBROS,Producer Manufacturing,Industrial Machinery
KIRLOSENG,Producer Manufacturing,Electrical Products
KIRLOSIND,Non-Energy Minerals,Steel
KIRLPNU,Producer Manufacturing,Industrial Machinery
KITEX,Process Industries,Textiles
KKCL,Consumer Non-Durables,Apparel/Footwear
KMEW,Producer Manufacturing,Trucks/Construction/Farm Machinery
KMSUGAR,Process Industries,Agricultural Commodities/Milling
KNAGRI,Process Industries,Agricultural Commodities/Milling
KNRCON,Industrial Services,Engineering & Construction
KODYTECH,Technology Services,Packaged Software
KOKUYOCMLN,Consumer Durables,Tools & Hardware
KOLTEPATIL,Finance,Real Estate Development
KOPRAN,Health Technology,Pharmaceuticals: Major
KORE,Distribution Services,Electronics Distributors
KOTAKBANK,Finance,Major Banks
KOTARISUG,Process Industries,Agricultural Commodities/Milling
KOTHARIPET,Process Industries,Chemicals: Specialty
KOTHARIPRO,Distribution Services,Wholesale Distributors
KOTYARK,Process Industries,Industrial Specialties
KPEL,Utilities,Alternative Power Generation
KPIGREEN,Utilities,Alternative Power Generation
KPIL,Industrial Services,Engineering & Construction
KPITTECH,Technology Services,Packaged Software
KPRMILL,Consumer Non-Durables,Apparel/Footwear
KRBL,Process Industries,Agricultural Commodities/Milling
KREBSBIO,Health Technology,Pharmaceuticals: Major
KRISHANA,Process Industries,Chemicals: Agricultural
KRISHCA,Producer Manufacturing,Metal Fabrication
KRISHIVAL,Process Industries,Agricultural Commodities/Milling
KRISHNADEF,Electronic Technology,Aerospace & Defense
KRITI,Producer Manufacturing,Miscellaneous Manufacturing
KRITIKA,Producer Manufacturing,Metal Fabrication
KRITINUT,Process Industries,Agricultural Commodities/Milling
KRMAYURVED,Health Services,Hospital/Nursing Management
KRN,Producer Manufacturing,Industrial Machinery
KRONOX,Process Industries,Chemicals: Specialty
KROSS,Producer Manufacturing,Auto Parts: OEM
KRSNAA,Health Services,Medical/Nursing Services
KRT.RR,Finance,Real Estate Investment Trusts
KRYSTAL,Commercial Services,Miscellaneous Commercial Services
KSB,Producer Manufacturing,Industrial Machinery
KSCL,Process Industries,Agricultural Commodities/Milling
KSHINTL,Producer Manufacturing,Electrical Products
KSL,Non-Energy Minerals,Steel
KSOLVES,Technology Services,Packaged Software
KTKBANK,Finance,Regional Banks
KUANTUM,Process Industries,Pulp & Paper
LAGNAM,Process Industries,Textiles
LAKSHYA,Industrial Services,Engineering & Construction
LAL,Consumer Non-Durables,Apparel/Footwear
LALPATHLAB,Health Services,Medical/Nursing Services
LAMBODHARA,Process Industries,Textiles
LANCORHOL,Finance,Real Estate Development
LANDMARK,Retail Trade,Specialty Stores
LAOPALA,Consumer Durables,Home Furnishings
LATENTVIEW,Commercial Services,Miscellaneous Commercial Services
LATTEYS,Producer Manufacturing,Industrial Machinery
LAURUSLABS,Health Technology,Pharmaceuticals: Major
LAXMIDENTL,Health Services,Medical/Nursing Services
LAXMIINDIA,Finance,Finance/Rental/Leasing
LEMERITE,Process Industries,Textiles
LEMONTREE,Consumer Services,Hotels/Resorts/Cruise lines
LENSKART,Health Technology,Medical Specialties
LGBBROSLTD,Producer Manufacturing,Electrical Products
LGEINDIA,Consumer Durables,Electronics/Appliances
LGHL,Consumer Durables,Other Consumer Specialties
LIBERTSHOE,Consumer Non-Durables,Apparel/Footwear
LICHSGFIN,Finance,Finance/Rental/Leasing
LICI,Finance,Life/Health Insurance
LIKHITHA,Industrial Services,Engineering & Construction
LINC,Consumer Non-Durables,Consumer Sundries
LINCOLN,Health Technology,Pharmaceuticals: Major
LINDEINDIA,Process Industries,Chemicals: Specialty
LLOYDS,Retail Trade,Specialty Stores
LLOYDSENGG,Industrial Services,Engineering & Construction
LLOYDSENT,Distribution Services,Wholesale Distributors
LLOYDSME,Non-Energy Minerals,Steel
