Symbol,TV_Sector,TV_Industry
TANKUP,Producer Manufacturing,Industrial Machinery
TANLA,Technology Services,Information Technology Services
TARACHAND,Finance,Finance/Rental/Leasing
TARC,Finance,Real Estate Development
TARIL,Producer Manufacturing,Electrical Products
TARMAT,Industrial Services,Engineering & Construction
TARSONS,Process Industries,Containers/Packaging
TASTYBITE,Consumer Non-Durables,Food: Specialty/Candy
TATACAP,Finance,Finance/Rental/Leasing
TATACHEM,Process Industries,Chemicals: Agricultural
TATACOMM,Communications,Major Telecommunications
TATACONSUM,Consumer Non-Durables,Food: Specialty/Candy
TATAELXSI,Technology Services,Information Technology Services
TATAINVEST,Finance,Investment Banks/Brokers
TATAPOWER,Utilities,Electric Utilities
TATASTEEL,Non-Energy Minerals,Steel
TATATECH,Technology Services,Packaged Software
TATVA,Process Industries,Chemicals: Specialty
TAURIAN,Producer Manufacturing,Trucks/Construction/Farm Machinery
TBI,Process Industries,Agricultural Commodities/Milling
TBOTEK,Technology Services,Internet Software/Services
TBZ,Consumer Durables,Other Consumer Specialties
TCI,Transportation,Trucking
TCIEXP,Transportation,Air Freight/Couriers
TCL,Producer Manufacturing,Auto Parts: OEM
TCPLPACK,Commercial Services,Commercial Printing/Forms
TCS,Technology Services,Information Technology Services
TDPOWERSYS,Producer Manufacturing,Electrical Products
TEAMGTY,Finance,Financial Conglomerates
TEAMLEASE,Commercial Services,Personnel Services
TECHD,Technology Services,Packaged Software
TECHERA,Producer Manufacturing,Metal Fabrication
TECHLABS,Distribution Services,Electronics Distributors
TECHM,Technology Services,Information Technology Services
TECHNOE,Industrial Services,Engineering & Construction
TEGA,Distribution Services,Wholesale Distributors
TEJASCARGO,Transportation,Air Freight/Couriers
TEJASNET,Electronic Technology,Telecommunications Equipment
TEMBO,Producer Manufacturing,Metal Fabrication
TENNIND,Producer Manufacturing,Auto Parts: OEM
TERASOFT,Technology Services,Information Technology Services
TEXINFRA,Utilities,Electric Utilities
TEXMOPIPES,Producer Manufacturing,Miscellaneous Manufacturing
TEXRAIL,Producer Manufacturing,Trucks/Construction/Farm Machinery
TFCILTD,Finance,Finance/Rental/Leasing
THANGAMAYL,Consumer Durables,Other Consumer Specialties
THEINVEST,Finance,Investment Banks/Brokers
THEJO,Distribution Services,Wholesale Distributors
THELEELA,Consumer Services,Hotels/Resorts/Cruise lines
THEMISMED,Health Technology,Pharmaceuticals: Major
THERMAX,Producer Manufacturing,Industrial Machinery
THOMASCOOK,Consumer Services,Other Consumer Services
THOMASCOTT,Consumer Non-Durables,Apparel/Footwear
THYROCARE,Health Services,Medical/Nursing Services
TI,Consumer Non-Durables,Beverages: Alcoholic
TICL,Industrial Services,Engineering & Construction
TIGERLOGS,Transportation,Air Freight/Couriers
TIIL,Producer Manufacturing,Metal Fabrication
TIINDIA,Non-Energy Minerals,Steel
TIL,Producer Manufacturing,Trucks/Construction/Farm Machinery
TIMETECHNO,Process Industries,Containers/Packaging
TIMKEN,Producer Manufacturing,Industrial Machinery
TINNARUBR,Process Industries,Industrial Specialties
TIPSFILMS,Consumer Services,Movies/Entertainment
TIPSMUSIC,Consumer Services,Movies/Entertainment
TIRUMALCHM,Process Industries,Chemicals: Specialty
TIRUPATI,Process Industries,Containers/Packaging
TIRUPATIFL,Producer Manufacturing,Industrial Conglomerates
TITAGARH,Producer Manufacturing,Trucks/Construction/Farm Machinery
TITAN,Consumer Durables,Other Consumer Specialties
TMB,Finance,Regional Banks
TMCV,Consumer Durables,Motor Vehicles
TMPV,Consumer Durables,Motor Vehicles
TNPETRO,Process Industries,Chemicals: Specialty
TNPL,Process Industries,Pulp & Paper
TOLINS,Consumer Durables,Automotive Aftermarket
TORNTPHARM,Health Technology,Pharmaceuticals: Major
TORNTPOWER,Utilities,Electric Utilities
TOTAL,Transportation,Air Freight/Couriers
TPLPLASTEH,Process Industries,Chemicals: Specialty
TRACXN,Technology Services,Internet Software/Services
TRANSRAILL,Industrial Services,Engineering & Construction
TRANSTEEL,Producer Manufacturing,Office Equipment/Supplies
TRANSWORLD,Transportation,Marine Shipping
TRAVELFOOD,Consumer Services,Restaurants
TREJHARA,Technology Services,Information Technology Services
TREL,Finance,Real Estate Development
TRENT,Retail Trade,Apparel/Footwear Retail
TRF,Producer Manufacturing,Trucks/Construction/Farm Machinery
TRIDENT,Process Industries,Textiles
TRIGYN,Technology Services,Information Technology Services
TRITURBINE,Producer Manufacturing,Industrial Machinery
TRIVENI,Process Industries,Agricultural Commodities/Milling
TRUALT,Process Industries,Chemicals: Specialty
TSFINV,Finance,Financial Conglomerates
TTKHLTCARE,Health Technology,Pharmaceuticals: Major
TTKPRESTIG,Consumer Durables,Home Furnishings
TTL,Process Industries,Textiles
TTML,Communications,Specialty Telecommunications
TUNWAL,Consumer Durables,Motor Vehicles
TVSELECT,Electronic Technology,Electronic Equipment/Instruments
TVSHLTD,Producer Manufacturing,Auto Parts: OEM
TVSMOTOR,Consumer Durables,Motor Vehicles
TVSSCS,Transportation,Air Freight/Couriers
TVSSRICHAK,Consumer Durables,Automotive Aftermarket
TVTODAY,Consumer Services,Broadcasting
UBL,Consumer Non-Durables,Beverages: Alcoholic
UCAL,Producer Manufacturing,Auto Parts: OEM
UCOBANK,Finance,Regional Banks
UDS,Commercial Services,Miscellaneous Commercial Services
UEL,Utilities,Alternative Power Generation
UFBL,Consumer Services,Restaurants
UFLEX,Process Industries,Containers/Packaging
UFO,Consumer Services,Movies/Entertainment
UGARSUGAR,Process Industries,Agricultural Commodities/Milling
UGROCAP,Finance,Finance/Rental/Leasing
UJJIVANSFB,Finance,Regional Banks
ULTRACEMCO,Non-Energy Minerals,Construction Materials
UMIYA_MRO,Electronic Technology,Electronic Production Equipment
UNICHEMLAB,Health Technology,Pharmaceuticals: Major
UNIDT,Industrial Services,Oilfield Services/Equipment
UNIECOM,Technology Services,Packaged Software
UNIENTER,Producer Manufacturing,Industrial Conglomerates
UNIHEALTH,Health Services,Medical/Nursing Services
UNIMECH,Producer Manufacturing,Industrial Machinery
UNIONBANK,Finance,Major Banks
UNIPARTS,Producer Manufacturing,Auto Parts: OEM
UNITDSPR,Consumer Non-Durables,Beverages: Alcoholic
UNITECH,Industrial Services,Engineering & Construction
UNITEDPOLY,Process Industries,Textiles
UNITEDTEA,Consumer Non-Durables,Food: Specialty/Candy
UNIVASTU,Industrial Services,Engineering & Construction
UNIVCABLES,Electronic Technology,Electronic Components
UNIVPHOTO,Consumer Durables,Electronics/Appliances
UNOMINDA,Producer Manufacturing,Auto Parts: OEM
UPL,Process Industries,Chemicals: Agricultural
URAVIDEF,Producer Manufacturing,Electrical Products
URBAN,Transportation,Trucking
URBANCO,Technology Services,Packaged Software
URJA,Electronic Technology,Semiconductors
USASEEDS,Process Industries,Agricultural Commodities/Milling
USHAFIN,Finance,Finance/Rental/Leasing
USHAMART,Producer Manufacturing,Metal Fabrication
USK,Industrial Services,Engineering & Construction
UTIAMC,Finance,Investment Managers
UTKARSHBNK,Finance,Regional Banks
UTLSOLAR,Electronic Technology,Semiconductors
UTSSAV,Consumer Durables,Other Consumer Specialties
UTTAMSUGAR,Process Industries,Agricultural Commodities/Milling
UYFINCORP,Finance,Finance/Rental/Leasing
V2RETAIL,Retail Trade,Apparel/Footwear Retail
VADILALIND,Consumer Non-Durables,Food: Specialty/Candy
VAIBHAVGBL,Consumer Durables,Other Consumer Specialties
VAKRANGEE,Retail Trade,Internet Retail
VALIANTLAB,Health Technology,Pharmaceuticals: Major
VALIANTORG,Process Industries,Chemicals: Specialty
VARDHACRLC,Consumer Non-Durables,Apparel/Footwear
VARDMNPOLY,Process Industries,Textiles
VARROC,Producer Manufacturing,Auto Parts: OEM
VASCONEQ,Industrial Services,Engineering & Construction
VASWANI,Non-Energy Minerals,Steel
VBL,Consumer Non-Durables,Beverages: Non-Alcoholic
VEDL,Non-Energy Minerals,Aluminum
VEEDOL,Energy Minerals,Oil Refining/Marketing
VENKEYS,Process Industries,Agricultural Commodities/Milling
VENTIVE,Consumer Services,Hotels/Resorts/Cruise lines
VENUSPIPES,Non-Energy Minerals,Steel
VENUSREM,Health Technology,Pharmaceuticals: Major
VERANDA,Commercial Services,Miscellaneous Commercial Services
VERTOZ,Commercial Services,Advertising/Marketing Services
VESUVIUS,Non-Energy Minerals,Construction Materials
VETO,Producer Manufacturing,Electrical Products
VGINFOTECH,Technology Services,Packaged Software
